epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,119.796,1.01894,0.67192,1.44842,0.99054,1,0.995,0.73619,1.19699,0.56152,1.51086,0.0001733,0.0001733,0.0001733
134,120.796,0.71481,0.46924,1.07814,0.98997,1,0.995,0.7362,1.03971,0.55734,1.42581,0.000170825,0.000170825,0.000170825
135,121.755,0.81468,0.5042,1.07586,0.98997,1,0.995,0.7362,1.03971,0.55734,1.42581,0.00016835,0.00016835,0.00016835
136,122.713,0.81546,0.56863,1.09445,0.98997,1,0.995,0.7362,1.03971,0.55734,1.42581,0.000165875,0.000165875,0.000165875
137,123.667,0.85149,0.63266,1.08661,0.98997,1,0.995,0.7362,1.03971,0.55734,1.42581,0.0001634,0.0001634,0.0001634
138,124.658,0.87297,0.51557,1.07344,0.98984,1,0.995,0.7362,1.03729,0.57294,1.41702,0.000160925,0.000160925,0.000160925
139,125.634,0.71358,0.53876,1.19128,0.98984,1,0.995,0.7362,1.03729,0.57294,1.41702,0.00015845,0.00015845,0.00015845
140,126.723,0.98752,0.58584,1.23723,0.98984,1,0.995,0.7362,1.03729,0.57294,1.41702,0.000155975,0.000155975,0.000155975
141,127.693,0.79102,0.49133,1.06651,0.98984,1,0.995,0.7362,1.03729,0.57294,1.41702,0.0001535,0.0001535,0.0001535
142,128.666,0.6851,0.5043,1.0143,0.98945,1,0.995,0.7233,1.08924,0.56192,1.39706,0.000151025,0.000151025,0.000151025
143,129.534,0.87254,0.63361,1.20766,0.98945,1,0.995,0.7233,1.08924,0.56192,1.39706,0.00014855,0.00014855,0.00014855
144,130.396,0.74769,0.47045,1.01848,0.98945,1,0.995,0.7233,1.08924,0.56192,1.39706,0.000146075,0.000146075,0.000146075
145,131.251,0.82391,0.50791,1.1514,0.98945,1,0.995,0.7233,1.08924,0.56192,1.39706,0.0001436,0.0001436,0.0001436
146,132.135,0.64577,0.49915,0.99152,0.98913,1,0.995,0.74453,1.10213,0.609,1.37331,0.000141125,0.000141125,0.000141125
147,133.096,0.61248,0.48211,1.07524,0.98913,1,0.995,0.74453,1.10213,0.609,1.37331,0.00013865,0.00013865,0.00013865
148,134.196,0.75106,0.55287,1.06784,0.98913,1,0.995,0.74453,1.10213,0.609,1.37331,0.000136175,0.000136175,0.000136175
